game_count,p1,p1_score,p2,p2_score
341,mcts,33,greedy,29
334,mcts,20,greedy,28
342,mcts,21,greedy,47
335,mcts,19,greedy,38
343,mcts,27,greedy,32
336,mcts,23,greedy,33
344,mcts,19,greedy,29
337,mcts,14,greedy,23
345,mcts,18,greedy,39
338,mcts,24,greedy,25
346,mcts,33,greedy,22
339,mcts,24,greedy,27
347,mcts,23,greedy,20
340,mcts,23,greedy,30
348,mcts,13,greedy,35
341,mcts,9,greedy,32
349,mcts,19,greedy,26
342,mcts,13,greedy,35
350,mcts,14,greedy,32
343,mcts,24,greedy,34
351,mcts,24,greedy,39
344,mcts,14,greedy,37
352,mcts,8,greedy,44
345,mcts,18,greedy,33
353,mcts,51,greedy,18
346,mcts,18,greedy,30
354,mcts,18,greedy,16
347,mcts,37,greedy,23
355,mcts,23,greedy,24
348,mcts,13,greedy,41
356,mcts,24,greedy,29
349,mcts,23,greedy,26
357,mcts,21,greedy,31
350,mcts,18,greedy,27
358,mcts,20,greedy,42
351,mcts,38,greedy,29
359,mcts,18,greedy,31
352,mcts,27,greedy,30
360,mcts,14,greedy,32
353,mcts,10,greedy,36
361,mcts,42,greedy,32
354,mcts,19,greedy,30
362,mcts,23,greedy,34
355,mcts,17,greedy,25
363,mcts,19,greedy,31
356,mcts,24,greedy,31
364,mcts,9,greedy,43
357,mcts,16,greedy,23
365,mcts,41,greedy,22
358,mcts,22,greedy,34
366,mcts,19,greedy,30
359,mcts,14,greedy,30
367,mcts,10,greedy,30
360,mcts,13,greedy,23
368,mcts,19,greedy,27
361,mcts,13,greedy,38
369,mcts,38,greedy,29
362,mcts,39,greedy,34
370,mcts,14,greedy,28
363,mcts,17,greedy,31
371,mcts,19,greedy,28
364,mcts,38,greedy,28
372,mcts,22,greedy,23
365,mcts,15,greedy,34
373,mcts,19,greedy,25
366,mcts,27,greedy,21
374,mcts,17,greedy,29
367,mcts,29,greedy,34
375,mcts,51,greedy,12
368,mcts,15,greedy,41
376,mcts,23,greedy,24
369,mcts,23,greedy,25
377,mcts,14,greedy,32
370,mcts,14,greedy,35
378,mcts,14,greedy,36
371,mcts,19,greedy,26
379,mcts,17,greedy,26
372,mcts,33,greedy,24
373,mcts,24,greedy,34
380,mcts,9,greedy,37
374,mcts,13,greedy,36
381,mcts,10,greedy,50
375,mcts,22,greedy,21
382,mcts,10,greedy,24
376,mcts,33,greedy,26
383,mcts,14,greedy,25
377,mcts,46,greedy,30
384,mcts,15,greedy,32
378,mcts,46,greedy,19
385,mcts,14,greedy,28
379,mcts,18,greedy,25
386,mcts,9,greedy,25
380,mcts,22,greedy,31
387,mcts,18,greedy,26
381,mcts,9,greedy,26
388,mcts,22,greedy,22
382,mcts,32,greedy,25
389,mcts,23,greedy,34
383,mcts,50,greedy,25
390,mcts,24,greedy,33
384,mcts,28,greedy,21
391,mcts,15,greedy,34
385,mcts,15,greedy,26
392,mcts,10,greedy,40
386,mcts,15,greedy,24
393,mcts,16,greedy,29
387,mcts,26,greedy,30
394,mcts,16,greedy,26
388,mcts,14,greedy,29
395,mcts,24,greedy,23
389,mcts,14,greedy,30
396,mcts,23,greedy,38
390,mcts,22,greedy,27
397,mcts,10,greedy,40
391,mcts,19,greedy,28
398,mcts,22,greedy,24
392,mcts,23,greedy,29
399,mcts,14,greedy,24
393,mcts,15,greedy,37
400,mcts,19,greedy,18
394,mcts,9,greedy,26
401,mcts,15,greedy,19
395,mcts,10,greedy,27
402,mcts,24,greedy,29
396,mcts,19,greedy,24
403,mcts,13,greedy,34
397,mcts,21,greedy,27
404,mcts,23,greedy,23
398,mcts,19,greedy,32
405,mcts,22,greedy,32
399,mcts,19,greedy,27
406,mcts,19,greedy,27
400,mcts,22,greedy,44
401,mcts,41,greedy,35
407,mcts,28,greedy,30
402,mcts,27,greedy,23
408,mcts,17,greedy,29
403,mcts,15,greedy,27
409,mcts,13,greedy,35
404,mcts,15,greedy,31
410,mcts,15,greedy,19
405,mcts,14,greedy,38
411,mcts,13,greedy,26
412,mcts,29,greedy,27
406,mcts,13,greedy,29
407,mcts,20,greedy,26
413,mcts,5,greedy,47
408,mcts,24,greedy,34
414,mcts,38,greedy,14
415,mcts,25,greedy,44
409,mcts,16,greedy,26
416,mcts,19,greedy,43
410,mcts,21,greedy,23
417,mcts,19,greedy,21
411,mcts,14,greedy,35
418,mcts,20,greedy,39
412,mcts,22,greedy,26
413,mcts,45,greedy,21
419,mcts,15,greedy,37
414,mcts,14,greedy,27
420,mcts,23,greedy,23
421,mcts,18,greedy,26
415,mcts,15,greedy,27
416,mcts,30,greedy,27
422,mcts,15,greedy,37
417,mcts,24,greedy,22
423,mcts,24,greedy,34
418,mcts,28,greedy,20
424,mcts,19,greedy,29
419,mcts,24,greedy,26
425,mcts,24,greedy,27
420,mcts,13,greedy,28
426,mcts,39,greedy,25
427,mcts,23,greedy,23
421,mcts,14,greedy,31
422,mcts,18,greedy,22
428,mcts,15,greedy,27
423,mcts,46,greedy,13
429,mcts,18,greedy,35
430,mcts,23,greedy,26
424,mcts,15,greedy,32
431,mcts,27,greedy,32
425,mcts,10,greedy,33
432,mcts,18,greedy,26
426,mcts,12,greedy,30
433,mcts,19,greedy,26
427,mcts,24,greedy,33
434,mcts,40,greedy,19
428,mcts,18,greedy,27
435,mcts,34,greedy,33
429,mcts,15,greedy,32
436,mcts,47,greedy,11
430,mcts,14,greedy,23
437,mcts,10,greedy,32
431,mcts,13,greedy,28
438,mcts,31,greedy,23
432,mcts,23,greedy,26
433,mcts,18,greedy,21
439,mcts,10,greedy,20
434,mcts,26,greedy,25
440,mcts,24,greedy,17
435,mcts,17,greedy,30
441,mcts,20,greedy,31
436,mcts,19,greedy,28
442,mcts,35,greedy,18
437,mcts,24,greedy,21
443,mcts,13,greedy,34
438,mcts,13,greedy,28
444,mcts,13,greedy,34
439,mcts,24,greedy,26
445,mcts,19,greedy,33
446,mcts,15,greedy,32
440,mcts,4,greedy,24
447,mcts,27,greedy,24
441,mcts,54,greedy,26
442,mcts,32,greedy,31
448,mcts,29,greedy,10
443,mcts,36,greedy,24
449,mcts,18,greedy,32
444,mcts,38,greedy,22
450,mcts,19,greedy,37
445,mcts,14,greedy,39
451,mcts,21,greedy,25
446,mcts,9,greedy,26
452,mcts,13,greedy,31
447,mcts,22,greedy,29
453,mcts,24,greedy,16
448,mcts,22,greedy,26
454,mcts,13,greedy,28
449,mcts,14,greedy,29
455,mcts,19,greedy,30
456,mcts,26,greedy,29
450,mcts,14,greedy,48
451,mcts,24,greedy,34
457,mcts,22,greedy,27
452,mcts,23,greedy,24
458,mcts,13,greedy,26
453,mcts,28,greedy,32
459,mcts,23,greedy,46
454,mcts,27,greedy,35
460,mcts,41,greedy,30
455,mcts,24,greedy,37
461,mcts,10,greedy,44
456,mcts,14,greedy,32
462,mcts,13,greedy,27
457,mcts,23,greedy,26
463,mcts,13,greedy,32
458,mcts,10,greedy,31
464,mcts,53,greedy,22
459,mcts,19,greedy,25
465,mcts,25,greedy,22
466,mcts,43,greedy,25
460,mcts,10,greedy,25
461,mcts,32,greedy,30
467,mcts,23,greedy,19
462,mcts,27,greedy,29
468,mcts,18,greedy,27
463,mcts,19,greedy,23
469,mcts,24,greedy,38
470,mcts,22,greedy,30
464,mcts,28,greedy,27
471,mcts,19,greedy,34
465,mcts,18,greedy,29
472,mcts,42,greedy,33
466,mcts,17,greedy,35
473,mcts,13,greedy,27
467,mcts,25,greedy,22
474,mcts,10,greedy,40
468,mcts,13,greedy,28
475,mcts,28,greedy,13
469,mcts,14,greedy,34
476,mcts,17,greedy,25
470,mcts,19,greedy,28
477,mcts,14,greedy,39
471,mcts,26,greedy,30
478,mcts,8,greedy,30
472,mcts,9,greedy,37
479,mcts,23,greedy,26
473,mcts,18,greedy,26
480,mcts,28,greedy,22
474,mcts,23,greedy,26
481,mcts,37,greedy,33
475,mcts,23,greedy,26
482,mcts,10,greedy,33
476,mcts,14,greedy,33
483,mcts,16,greedy,17
477,mcts,28,greedy,35
478,mcts,18,greedy,36
484,mcts,9,greedy,31
479,mcts,19,greedy,38
485,mcts,46,greedy,11
486,mcts,18,greedy,40
480,mcts,15,greedy,37
487,mcts,14,greedy,43
481,mcts,23,greedy,31
488,mcts,13,greedy,44
482,mcts,14,greedy,19
489,mcts,23,greedy,36
483,mcts,15,greedy,29
490,mcts,23,greedy,33
484,mcts,31,greedy,22
491,mcts,7,greedy,57
485,mcts,18,greedy,30
492,mcts,23,greedy,17
486,mcts,22,greedy,18
493,mcts,42,greedy,13
487,mcts,11,greedy,27
494,mcts,22,greedy,27
488,mcts,29,greedy,35
495,mcts,43,greedy,36
489,mcts,19,greedy,26
496,mcts,22,greedy,34
490,mcts,33,greedy,30
497,mcts,14,greedy,40
491,mcts,10,greedy,24
498,mcts,22,greedy,29
492,mcts,14,greedy,38
499,mcts,14,greedy,28
493,mcts,22,greedy,31
500,mcts,22,greedy,30
494,mcts,19,greedy,32
495,mcts,18,greedy,25
496,mcts,17,greedy,17
497,mcts,17,greedy,31
498,mcts,19,greedy,33
499,mcts,15,greedy,23
500,mcts,27,greedy,26
