game_count,p1,p1_score,p2,p2_score
397,greedy,20,random,24
398,greedy,22,random,40
399,greedy,15,random,52
400,greedy,13,random,59
401,greedy,25,random,43
402,greedy,12,random,64
403,greedy,24,random,28
404,greedy,21,random,58
405,greedy,17,random,20
406,greedy,13,random,54
407,greedy,27,random,54
408,greedy,18,random,42
409,greedy,13,random,53
410,greedy,21,random,39
411,greedy,21,random,32
412,greedy,18,random,33
413,greedy,21,random,55
414,greedy,27,random,25
415,greedy,21,random,33
416,greedy,16,random,53
417,greedy,22,random,43
418,greedy,28,random,48
419,greedy,23,random,33
420,greedy,21,random,51
421,greedy,21,random,52
422,greedy,15,random,25
423,greedy,20,random,28
424,greedy,23,random,34
425,greedy,31,random,33
426,greedy,12,random,43
427,greedy,20,random,45
428,greedy,17,random,44
429,greedy,22,random,35
430,greedy,18,random,19
431,greedy,22,random,39
432,greedy,16,random,41
433,greedy,19,random,44
434,greedy,22,random,23
435,greedy,22,random,32
436,greedy,27,random,36
437,greedy,31,random,45
438,greedy,29,random,29
439,greedy,23,random,22
440,greedy,14,random,22
441,greedy,20,random,28
442,greedy,12,random,50
443,greedy,16,random,36
444,greedy,23,random,60
445,greedy,30,random,23
446,greedy,30,random,50
447,greedy,21,random,57
448,greedy,20,random,23
449,greedy,9,random,23
450,greedy,24,random,48
451,greedy,15,random,41
452,greedy,23,random,29
453,greedy,9,random,37
454,greedy,17,random,38
455,greedy,15,random,38
456,greedy,24,random,29
457,greedy,13,random,53
458,greedy,20,random,38
459,greedy,20,random,56
460,greedy,28,random,38
461,greedy,16,random,45
462,greedy,22,random,29
463,greedy,19,random,32
464,greedy,18,random,19
465,greedy,9,random,50
466,greedy,21,random,27
467,greedy,24,random,33
468,greedy,19,random,47
469,greedy,14,random,28
470,greedy,21,random,50
471,greedy,30,random,38
472,greedy,21,random,27
473,greedy,25,random,31
474,greedy,18,random,53
475,greedy,18,random,26
476,greedy,20,random,50
477,greedy,24,random,32
478,greedy,18,random,14
479,greedy,13,random,33
480,greedy,16,random,29
481,greedy,17,random,24
482,greedy,25,random,53
483,greedy,14,random,34
484,greedy,19,random,28
485,greedy,21,random,50
486,greedy,24,random,28
487,greedy,23,random,41
488,greedy,27,random,24
489,greedy,13,random,59
490,greedy,19,random,34
491,greedy,21,random,51
492,greedy,26,random,41
493,greedy,24,random,32
494,greedy,24,random,54
495,greedy,9,random,49
496,greedy,17,random,55
497,greedy,26,random,23
498,greedy,22,random,19
499,greedy,19,random,41
500,greedy,17,random,42
501,greedy,34,random,37
